"SearchResult__voText___aFyh5","LocationsHorizontal__voText___pUgoW","LocationsHorizontal__time___SaJCp","DurationTime__voText___N4rJk","DurationTime__duration___fWCpH","LocationsHorizontal__voText___pUgoW 2","LocationsHorizontal__timeWrapper___TujDY","LocationsHorizontal__voText___pUgoW 3","LocationsHorizontal__station___ItGEv","SearchResult__price___QpySa"
"Direct trip from Tue, 20 May at 6:15 pm till Wed, 21 May at 6:30 am for ₹1,049.00","Boarding time: 6:15 pm","6:15 pm","Duration: 12:15 hrs","12:15 hrs","Dropping time: 6:30 am +1 day","6:30 am","Boarding point:  Jaipur - Park Street near Sindhi Camp","Jaipur - Park Street near Sindhi Camp","₹936"
"Direct trip from Tue, 20 May at 6:35 pm till Wed, 21 May at 6:30 am for ₹1,049.00","Boarding time: 6:35 pm","6:35 pm","Duration: 11:55 hrs","11:55 hrs","Dropping time: 6:30 am +1 day","6:30 am","Boarding point:  Jaipur - Narayan Singh Circle (N)","Jaipur - Narayan Singh Circle (N)","₹936"
"Direct trip from Tue, 20 May at 7:00 pm till Wed, 21 May at 6:30 am for ₹1,049.00","Boarding time: 7:00 pm","7:00 pm","Duration: 11:30 hrs","11:30 hrs","Dropping time: 6:30 am +1 day","6:30 am","Boarding point:  Jaipur - Transport Nagar (N)","Jaipur - Transport Nagar (N)","₹936"
"Direct trip from Tue, 20 May at 7:40 pm till Wed, 21 May at 7:55 am for ₹1,089.00","Boarding time: 7:40 pm","7:40 pm","Duration: 12:15 hrs","12:15 hrs","Dropping time: 7:55 am +1 day","7:55 am","Boarding point:  Jaipur - Park Street near Sindhi Camp","Jaipur - Park Street near Sindhi Camp","₹972"
"Direct trip from Tue, 20 May at 8:00 pm till Wed, 21 May at 7:55 am for ₹1,089.00","Boarding time: 8:00 pm","8:00 pm","Duration: 11:55 hrs","11:55 hrs","Dropping time: 7:55 am +1 day","7:55 am","Boarding point:  Jaipur - Narayan Singh Circle (N)","Jaipur - Narayan Singh Circle (N)","₹972"
"Direct trip from Tue, 20 May at 8:25 pm till Wed, 21 May at 7:55 am for ₹1,089.00","Boarding time: 8:25 pm","8:25 pm","Duration: 11:30 hrs","11:30 hrs","Dropping time: 7:55 am +1 day","7:55 am","Boarding point:  Jaipur - Transport Nagar (N)","Jaipur - Transport Nagar (N)","₹972"
"Direct trip from Tue, 20 May at 11:30 pm till Wed, 21 May at 11:35 am for ₹1,049.00","Boarding time: 11:30 pm","11:30 pm","Duration: 12:05 hrs","12:05 hrs","Dropping time: 11:35 am +1 day","11:35 am","Boarding point:  Jaipur - Park Street near Sindhi Camp","Jaipur - Park Street near Sindhi Camp","₹936"
"Direct trip from Tue, 20 May at 11:50 pm till Wed, 21 May at 11:35 am for ₹1,049.00","Boarding time: 11:50 pm","11:50 pm","Duration: 11:45 hrs","11:45 hrs","Dropping time: 11:35 am +1 day","11:35 am","Boarding point:  Jaipur - Narayan Singh Circle (N)","Jaipur - Narayan Singh Circle (N)","₹936"
